company,headquarters,served_countries,number_of_locations,number_of_employees,number_of_locations_num,number_of_employees_num,countries_count,company_id
Miracle Mart,Canada,,31,,31.0,,,351
Masoutis,Greece,,210,,210.0,,,352
Farm Boy,Canada,,47,,47.0,,,353
Supermercados Peruanos,Peru,,103,6000,103.0,6000.0,,354
Wong,Peru,,18,,18.0,,,355
China Resources,Mainland China,Hong Kong,,,,,1,356
Safeway (Australia),Australia,,187,,187.0,,,357
Roelf Vos,Australia,,,,,,,358
Robinsons Supermarket,Philippines,,274,,274.0,,,359
Sm Retail,Philippines,,,,,,,360
Citysuper,Hong Kong,"Taiwan, Mainland China",41,,41.0,,2,361
Kansai Super,Japan,,60,,60.0,,,362
Extra Foods,Canada,,4,,4.0,,,363
Globus Department Store,Switzerland,,,3400,,3400.0,,364
Globus,Germany,"Czech Republic, Russia, Luxembourg",165,44900,165.0,44900.0,3,365
Allied Stores,United States,,226,,226.0,,,366
T&T Supermarket,Canada,,33,,33.0,,,367
Match,Belgium,"Luxembourg, France",217,,217.0,,2,368
C-Market,Serbia,,,,,,,369
Tegut,Germany,,275,7700,275.0,7700.0,,370
Comet,United Kingdom,,,,,,,371
